<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RI.IMOEX,D,20221221,000000,2135.4100000,2139.4900000,2102.2400000,2116.1300000,29894863249
RI.IMOEX,D,20221222,000000,2124.3700000,2134.4800000,2114.9100000,2122.9100000,22389564336
RI.IMOEX,D,20221223,000000,2121.9900000,2128.2700000,2110.5900000,2124.0200000,18062507412
RI.IMOEX,D,20221226,000000,2126.4000000,2139.7800000,2126.4000000,2139.2100000,21125161479
RI.IMOEX,D,20221227,000000,2142.0800000,2154.3500000,2138.1100000,2150.9200000,21608840557
RI.IMOEX,D,20221228,000000,2150.1200000,2152.4700000,2136.6800000,2139.7700000,18664952400
RI.IMOEX,D,20221229,000000,2135.9100000,2149.9400000,2134.4800000,2147.0600000,15621397597
RI.IMOEX,D,20221230,000000,2149.8300000,2154.4700000,2139.7900000,2154.1200000,16839051205
RI.IMOEX,D,20230103,000000,2157.1800000,2174.2300000,2157.1800000,2172.6800000,12513772613
RI.IMOEX,D,20230104,000000,2171.5400000,2179.5600000,2162.0600000,2168.4200000,11572472226
RI.IMOEX,D,20230105,000000,2170.4000000,2171.9400000,2154.1600000,2156.6700000,9795860282
RI.IMOEX,D,20230106,000000,2157.3200000,2160.0800000,2153.3200000,2156.3900000,7629262703
RI.IMOEX,D,20230109,000000,2163.4300000,2169.7100000,2162.0100000,2163.5000000,18229374864
RI.IMOEX,D,20230110,000000,2162.7000000,2162.9200000,2145.1400000,2159.5100000,14437502211
RI.IMOEX,D,20230111,000000,2156.2800000,2190.4000000,2153.5500000,2186.9800000,35199068295
RI.IMOEX,D,20230112,000000,2193.5300000,2194.8000000,2177.3600000,2185.9300000,21247673022
RI.IMOEX,D,20230113,000000,2188.6000000,2204.1800000,2179.8200000,2199.9400000,27608131425
RI.IMOEX,D,20230116,000000,2204.6400000,2224.9000000,2204.4600000,2224.9000000,27004230302
RI.IMOEX,D,20230117,000000,2225.2600000,2226.4900000,2196.8400000,2196.8400000,31405275404
RI.IMOEX,D,20230118,000000,2188.9000000,2206.6600000,2177.6500000,2196.2600000,24354621288
RI.IMOEX,D,20230119,000000,2190.0200000,2193.9300000,2162.1100000,2168.8300000,25527858714
RI.IMOEX,D,20230120,000000,2167.6100000,2173.7100000,2154.3700000,2166.6900000,18771183436
RI.IMOEX,D,20230123,000000,2167.9200000,2186.8500000,2164.8900000,2185.3100000,20458882720
RI.IMOEX,D,20230124,000000,2191.6400000,2199.2900000,2172.7500000,2172.7500000,28998336156
RI.IMOEX,D,20230125,000000,2168.4800000,2176.6100000,2160.7600000,2170.1500000,22598835046
RI.IMOEX,D,20230126,000000,2181.9600000,2183.7700000,2166.9200000,2166.9200000,22688381374
RI.IMOEX,D,20230127,000000,2174.8500000,2189.3500000,2167.3300000,2189.3500000,22212005108
RI.IMOEX,D,20230130,000000,2193.9900000,2204.4100000,2189.1200000,2204.4100000,25330739987
RI.IMOEX,D,20230131,000000,2203.5700000,2225.6000000,2202.7600000,2225.6000000,33453607956
RI.IMOEX,D,20230201,000000,2232.0200000,2247.1200000,2224.9500000,2230.1500000,39301388253
RI.IMOEX,D,20230202,000000,2243.0400000,2249.5600000,2228.5600000,2243.5400000,32801716728
RI.IMOEX,D,20230203,000000,2239.1000000,2253.7000000,2216.6300000,2248.3000000,43309276904
RI.IMOEX,D,20230206,000000,2245.9300000,2276.5000000,2243.7700000,2272.3700000,41996751982
RI.IMOEX,D,20230207,000000,2281.6900000,2290.5100000,2262.3000000,2267.6900000,41020470817
RI.IMOEX,D,20230208,000000,2273.5900000,2283.4900000,2244.5200000,2251.9700000,36339368570
RI.IMOEX,D,20230209,000000,2258.9700000,2269.9600000,2241.0200000,2262.4500000,36676073920
RI.IMOEX,D,20230210,000000,2253.5100000,2264.3900000,2249.6200000,2261.5800000,20722191586
RI.IMOEX,D,20230213,000000,2262.6500000,2271.0000000,2261.3700000,2264.2700000,18330885936
RI.IMOEX,D,20230214,000000,2256.5900000,2256.9600000,2225.9400000,2232.2300000,31013851411
RI.IMOEX,D,20230215,000000,2216.6900000,2216.6900000,2164.7000000,2166.4600000,42696988341
RI.IMOEX,D,20230216,000000,2169.3900000,2186.6400000,2150.1700000,2153.9600000,33114594123
